otsikko,teksti,tahdet,url,kieli
placeholder,Kelpo kone kotikäyttöön. Halusimme selkeän peruskoneen pitkään palvelleen tilalle ja tämä on meille juuri sopiva!,3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvä. Olen ollut tyytyväinen,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvä kone. Olen ollut tyytyväinen ostokseen,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Erittäin hyvä budjettivaihtoehto! Olen tyytyväinen ostokseen! Ystävillä on kalliimpia malleja, mutta tulos on sama. Suosittelen!",5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Kaikki ominaisuudet mitä tarvitsen. Kuukauden käyttänyt ja ollut tyytyväinen,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Perustiskikone. Hieman isoääninen. Jättää muoviosat märäksi, muuten hintaansa nähden toimiva peli.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Toimii. Ostettiin n.kolme viikkoa sitten, kun oli halvin ja saatiin suoraan liikkeestä. Puhdasta on tullut.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Tosi hyvät ominaisuudet. Ostimme tämän koneen 9.3, siis kuukausi sitten. Kone tuntuu hyvältä, sillä on hyvä pesuteho ja hiljainen ääni. Ohjelmavalikko on ihan riittävä meidän talouteemme .",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Riittävät ominaisuude. Ostin kyseisen tuotteen kaksi kuukautta siten, rikki menneen tilalle. Likaisemmatkin astiat pesee kyllä puhtaaksi, mutta kuivaus tulos ei hyvä. Astiat jäävät aina märiksi ohjelman jälkeen.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,ihan hyvä. Ostin noin 1½ kuukautta sitten.,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvät ominaisuudet. Tyytyväinen olen ollut koneeseen,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Halvalla ei saa hyvää. Ostin koneen kk sitten tarpeeseen,kun vanha hajosi. Laite on hintansa väärti,pesutulos ok. Astioiden ja välineiden asettelu hankalaa. Todella äänekäs. Hyvät pesu-ohjelmat. Jollei kova ääni haittaa, niin ihan passeli laite. Ajaa asiansa.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Tehokkaampi kuin entinen! Uusi on aina uusi, eli vaatii tutustumista. Ohjekirjan suomenkieli vaatisi oikolukua joiltakin osin hyvin vaikeaa ymmärtää.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hiljainen ääni. Olen tyytyväinen, vaikka käytän harvoin.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Astianpesukone. Ei kuivaa hyvin astioita. Luukku ei avaudu automaattisesti. Hinta koneen ominaisuuksiin jonkin verran kallis. On,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvä kone. On ollut hyvä kone ja hyvä määrä pesu ohjelmia ja plussaa näyttö mistä näkee pesu ajan.,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Toimii jyvon. Helppokäyttöinen joustava,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,sopiva minun käyttöön. Ensimäinen kone ei suostunut ottamaan vettä ja se vaihdettiin toiseen samanlaiseen. Nyt tällä olen pessyt kolme kertaa ja toimii .,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hyvä hinta-laatu -suhde. Olen kaiken kaikkiaan tyytyväinen. Kone oli helppo asentaa. Siinä on useita ohjelmia, ottaa huomioon paikallisen veden kovuustason.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hyvä perus astianpesukone. Ollut käytössä nyt 2 viikkoa. Hyvin toimii, pesee puhtaaksi. Hiljainen. Hinta laatu suhde kohdillaan.",5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Monipuoliset ohjelmat. Olen kyllä ollut tyytyväinen tiskariin,lähtee likaisemmatkin astiat putipuhtaiksi",5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Kone. Toimii hintasekseen ihan hyvä kone,3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Hiljainen ja helppokäyttöinen. N. kk sitten ostettu astianpesuri. Hintalaatusuhde on hyvä. Ei mitään erikoisia luksustoimintoja, tarvittavat toiminnot ja pesuohjelmat. Pesee puhtaaksi ja on todella hiljainen pesukone. Myyntitilanteessa asiointi oli todella ammattimaista ja sujuvaa.",5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Helpostusta arkeen. Kuukauden verran ollut käytössä ja on aivan loistava peli. Sopivasti ohjelmia, hiljainen, ja vähäenerginen.",5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvät eriytetyt ohjelmat. Ostin kuukausi sitten ja olen tyytyväinen. Ohjelmat valittavissa astioiden likaisuuden ja muun tarpeen mukaan.. Pesutulos ihan hyvä! Hiljainen ääni! Kestävyys tietnkin osoittautuu ajan kanssa.,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Ihan ok. Tyytyväinen hyvä hlnta laatushde,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Arvostelu. Ostin tämän n. kuukausi sitten, enkä ole täysin tyytyväinen tuotteeseen. Astiakorit tuntuvat vähän liian keveitä ja huterilta. Pesutulos on kyllä hyvä ja ohjelmat selkeitä ja helppokäyttöiset. Hyvää on myös se, että on ilmoitettu kunkin ohjelman veden ja sähkön kulutus.",4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Aivan erinomainen. 1 kk ollut käytössä ja olen erittäin tyytyväinen. Pesuohjelmien valinnan mahdollisuuksista olen mieltynyt eco-ohjelman lisäksi myös puoliohjelmaan. Puoliohjelma puolittaa sähkön ja veden kulutuksen ja aikaakin :) Ja mikä tilaihme!,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Tyytyväinen. En ole satavarma ostaisinko toisen kerran,3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Todella hyvä. Ollut tosi hyvä ja pesee tosi hyvin lyhyelläkin ohjelmalla,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Edullinen. Ihan toimiva ja halpa.,3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hinta-laatusuhde kohdallaan. Muutaman viikon käytettyäni olen tyytyväinen ostokseeni.,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Puhdasta jälkeä. Tekee puhdasta ja kuivaa hyvin Hiljainen Ajannäyttö positiivistä tietää kauanko pesu kestää,5,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Astiat kirkkaiksi. Pari viikkoa olen nyt käyttänyt tätä konetta ja hyvin on toiminut ja astiat puhdistuvat todella hyvin. Pesuohjelmia on riittävästi ja kone on riittävän suuri. Olen erittäin tyytyväinen ostokseeni ja erityiskiitos Prismalle ja asennusfirmalle hyvästä palvelusta.,4,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,"Perus tiskikone. Ostin kyseisen tuotteen rikki menneen tilalle. Koneen kova ääni yllätti (ei ole epäselvää onko kone päällä vai ei), likaisemmatkin astiat pesee puhtaaksi, mutta kuivaus ei ole parhaimmasta päästä. Astiat jäävät aina märiksi ohjelman jälkeen.",3,https://www.prisma.fi/tuotteet/100228172/gram-astianpesukone-60-cm-om-6210-90t-1-valkoinen-100228172,fi
placeholder,Hyvät ovat ja toinen pari menossa.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät tossut. Hyvät perinteiset Reinot.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Olen ollut tyytyväinen. Olen käyttänyt Reinoja jo monta vuosikymmentä, mutta kuluvat kovassa käytössä, niin täytyy uusia välillä.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät. Tuttua laatua !Hyvät on.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Reiskat sopii kesällä kauppareissuillakin. Reinot ovat legenda, hyvät ja kestävät kengät!",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,No Reiskat. Hyvät tossut joka hommaan,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Luotettava klassikko! Lähdin prismaan mukavat kesäkengät mielessä, kokeilin muovisia krokseja, mutten innostunut niiden ulkonäöstä. Sitten näin reinot. Kokeilin ja ostin heti. Kestävät, ajattoman tyylikkäät ja mukavat jalassa. Olen käyttänyt nyt reinojani aktiivisesti käyttökenkinä ulkona, eikä moitteita. Kauppareissulle, puistoon, bileisiin tai klubille, kaikki menee :D",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät tossut. Monet Reinot ostettu ja lisää aiotaan ostaa.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Parhaat kengät. Klassikko kengät. Hyvät ja nopeat potkaista jalkaan,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"ihanat perinnetossut,kotoisat. Ostin tossut lahjoiksi isälle ja pojalle.Itsellänikin on ainot.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Mukavat Reinot. Minulla jo neljännet Reinot käytössä ja viidennet odottaa. Kelpo tuote ja hinta/laatusuhde kohdallaan.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Mukavat jalassa, talvella lämpimät. Vanha tuttu tuote, oikein mukavat.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Ihan mahtavat, varsinkin talvella! Pari kuukautta sitten ostetut ja hyvin toimii!",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Mukavat jalassa. Ostin kuukausi sitten ja ovat olleet käytössä siitä asti.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät on oikein. Oikein hyvät on kiva kävellä,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Lämpimät tossut. Ostin Reinot isälleni. Sopivan kevyet ja lämpimät ja helpot laittaa jalkaan. Sopivat sekä nuoremmille että ikäihmisille.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Huippu sisäkengät. Ensivaikutelman perusteella samankaltaiset, kuin vanhat jo rikkoontuneet Suomessa valmistetut. Näiden kestävyyttä on mahdoton arvioida kuukauden käytön perusteella, miksi edes kysytään tällaista? Yksi tähti pois, kun valmistus siirtyi ulkomaille. Sellaista se tosin taitaa olla globalisaation aikana.",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Reinot on kyllä hienot. Ostin kuukausi sitten ja Reinot eivät ole pettäneet. On makia reiskoilla kävellä.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät kengät. Todella hyvät mökki kengät! Kannattaa ottaa vähä pienempi koko,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Monikäyttöinen. Pojalle osti 40 vuotislahjaksi , kun entiset jo loppuunkäytetyt. Ulkopohjassa voisi ola kuviota enemmän ,kun ulkonakin niillä tulee käytyä Itse haluisin tossuihin pehmeää sisusta",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"sopii juts leikkauspotilaan jalkaan. Reino-tossut ovat miehelleni tosi hyvät, jalat turvoksissa leikkauksen jälkeen, saa helposti jalkaan ja vielä mahtuu kantapään koroke hyvin oikean jalan tossuun. Hyvä näillä on parannella itsensä kuntoon.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Paras lahjaidea ikinä! Ostettiin naapurin isännälle 40-lahjaksi. Oli tosi onnistunut yllätys.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Mukavat kotitossut. Klassikkotossut moneen käyttöön, erityisesti viileällä säällä ihanat ja kevyet jalassa. Koko kannattaa valita yksi koko pienempi kuin normaalisti, että pysyvät jalassa, kun ovat niin väljät.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Erittäin hyvät. Syöpähoidon kuivattamille jaloille erittäin hyvät.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Todella hintansa väärtti. Ovat todella hyvät pyörätuolissa istuvalle koska niillä saa vauhtia ja ovat lämpimät.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Ihan jees! Kokoon nähden (42) kärkiosa vois olla leveämpi.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Paras lahja isoisälle! Ostin Reinot isoisälleni lahjaksi ja ne ovat nykyään hänen lempitossunsa! Käytössä joka päivä.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Lämpimät ja tarpeelliset mökkijalkineet. Ostin Reinot enolle syntymäpäivälahjaksi, mökkikäyttöön ja ovat kuulemma hyvät ja erittäin tarpeelliset",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Mahtava tuote. Ostin miehelleni syntymäpäivälahjaksi ja hän tykkää, edelliset olivat loppuun käytetyt ja totaalisesti rikki",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Tutut ja turvalliset. Ostin puolisolleni uudet Reino-tossut, koska vanhat yli 10vuotta hyvin palvelleet olivat nyt käytössä kuluneet. Tuttu tuote, helppo valinta.",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Lämpimät ja tilavat. Ostin lahjaksi; helppo laittaa jalkaan, tilavat, lämpimät ja nätit.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Taattua laatua. Lahjan saaja oli oikein tyytyväinen näihin aitoihin ja perinteisiin Reinoihin.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät jalassa. Meidän nuoret pitävät näistä,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Kohtalaiset ominaisuudet. Tarvitsen näitä koska lattialla aina vetää jonkin verran. Kesällä nämä on aika sopivat mutta talvella saisi ehkä olla lämpimämmät.,3,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvä laatu. Olen ollut tyytyväinen,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Lämpimät. Ostin miehelleni. Hän haluaa aina heti uudet jos entiset ovat liikaa kuluneet kotikäytässä.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Tarve ostaa lahjaksi ja lahjansaaja oli ok. OSTIN KOSKA OLI AINUT MYYMÄLÄ JOSSA TOSSUT OLI. LAHJAN SAAJA OLI TODELLA TYYTYVÄINEN,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Legendaariset tossut. Ostin reinotossut lahjaksi appiukolle, itsellänikin jo ties kuinka monet käytössä. Aivan Parhaat!",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Reino tohveliy. Laitoimme Reino tohvelit isällemme syntymäpäivä lahjaksi ja sankari oli kyllä tyytyväinen,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,hyvät jalkaan. pysyy jalassa korkeiden sivujen ansiosta,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvä lahja. Mainio lahja! Lahjan saanut otti heti käyttöön.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Paras ovat toiset käytössä. Hyvät ,parhaat mitä käyttää kotikäyttöön!",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Yhtä hyvät kuin edelliset. Hyvin toimivat , monipuolinen käytettävyys",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Muita ei tarvita! Menee kesä ja talvet, en ole muita kenkiä käyttänyt.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Ei kotimaiset sittenkään. Miehelle ostettiin nämä Reinot, Italiassa valmistetut. Ovat aika kapeat mutta mies sanoo, että kyllä ne siitä levenee, mutta en usko. Kokonumero oli hankala kun normi kenkä on 48 niin näissä 45 oli sopiva. Jotenkin eivät ole enää ne vanhan kunnon Reinot. Hyvin niillä sisällä kävelee ja kesäkelillä pihallekin.",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Hyväksi havaitut. Olen ostanut vanhemmalleni ennenkin näitä samoja tossuja ja koska hän on ollut erittäin tyytyväinen niihin , miksi vaihtaa.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,80v-lahjaksi. Lahjan saaja oli tyytyväinen ja piti tossuja koko illan.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Päheet tossut. No onha nää katu-uskottavat!,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Tukevat jalassa. Helpot jalkaan laitettavat lämpimät,reinoja ollut aiemminkin. Ostin muuvalta ennen joulua saulitossut joilla ei tehnyt yhtikäs mitään (paitsi nyt energiajätteenä).",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Miesten aamutossujen ykköset. Ostin ensimmäiset tossut noin kuukausi sitten ja tällä viikolla kävin hakemassa vielä toiset, ovat aivan mahtavat",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Postinhakukengät. Aviomies oli tosi tyytyväinen joululahjaansa,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,TOIMIVA. Jalkaan sopivat ja helppo käyttää; hyvä laatu kokemuksesta ; liki vuosittain jollekin perheenjäsenelle,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät tossut. Taattua Reino laatua.,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Huippu tuote! Osti lahjaksi miehelleni, joka tarvitsee töihin ”toimistokenkiä” eli kenkiä jotka voi helposti vaihtaa jalkaa kun tulee ulkohommista tai vastaavasti lähtee näihin ulkohommiin. Lämpimät, hyvä poja, helppo laittaa jalkaan, hyvän näköiset… yksinkertaisesti toimii!",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Klassikko tohvelit. Teinilä joululahja, joka sai suupielet hymyyn.",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,olen käyttänyt Reinoja jo kohta 50vuotta. olen erittäin tyytyväinen käyttäjä,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Vanhat ja perinteiset. Ihanat tohvelit vanhalle boomerille.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Perinteiset Reinot. Reinot ei petä, klassikko ja oikein hyvät ovat",5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Hyvät tossut sisäkäytöön. Pehmeät ja mukavan lämpimät tossut,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Kivat jalassa. Mukavan rennot kengät ja nopeat heittää jalkaan,4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Mukavat ja helppo sujauttaa jalkaan. Tämmöiset edelliset ostin 10v sitten ja nyt oli tarve vaihtaa uusiin.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,Onnistunut isänpäivälahja. Prismassa isänpäivälahja ostoksilla hyvin iskivät silmään pöydästä ja valikoituivat tänä vuonna lahjaksi isälle. Koko vastasi hyvin oikeaa/normaalia ja tuntui olevan hyvin mieluinen lahja.,5,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
placeholder,"Perinteiset. Odotusten mukaiset, ei vielä käytetty",4,https://www.prisma.fi/tuotteet/100241352/reino-aino-miesten-tossut-reino-100241352,fi
