otsikko,teksti,tahdet,url,kieli,tunne
Ihana lelu,"Aivan ihastuttava lelu. Toimii moitteettomasti. Lapsenlapsen mieluisin joululahja. Jouluaattona ei saatu toimimaan, kun sovellus kaatui  liiallisen käyttäjämäärän vuoksi. Joulupäivästä saakka lelu on toiminut moitteettomasti.",5,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,positiivinen
Alkuhaasteiden jälkeen toimii mutta…,"Aluksi lelu ei millään toiminut, johtui varmaan sadoista muista samanaikaisista käyttäjistä, en tiedä. Sovelluksen ja nallen yhdistäminen oli myös hieman hankalaa. Lopulta muutaman päivän jälkeen nalle alkoikin toimia normaalisti ja keksii nyt kivoja ja lapsiystävällisiä tarinoita.Kuitenkin ohjeissa luvataan, että nallen ostamalla saa perusominaisuudet käyttöön. Nallen mukana tuli kuitenkin vain 75 polettia ja jokainen tarina kuluttaa yhden. Mitähän sen jälkeen tapahtuu? Toistaako nalle vain vanhoja tarinoita? Vähän on huijattu olo, jos näin on. Lisäksi poletteja kului alussa useampi turhaan, kun nalle ei toiminutkaan. Olisi reilua saada hyvitystä niistä. Tuotteen tiedoissa pitäisi myös ehdottomasti lukea, että tarinoita on vain rajoitettu määrä ”ilmaiseksi” mikäli näin todella on!",3,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,neutraali
Uudelleenarviointi,Kirjoitin alkujaan ensimmäisenä olevan palautteen ja vehjettä testailtu kymmeniä kertoja eri päivinä joulun jälkeen ja lopulta sai jotenkin toimiin että puolikas lause tuli ja lopetti siihen. Nyt ennenkuin heitin nallen roskiin niin päätin vaihtaa paristot kun tunnetusti tyhjenee itsekseen ”uudet” piunpong patterit. Kuinka ollakkaan pienen säädön jälkeen lähti toimimaan. Jo aiemmin huomasin että poletit sai täyteen kun poisti ohjelman ja asensi uudelleen.,3,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,neutraali
Aluksi ei toiminut mutta..,"Usean tunnin yrittämisen jälkeen nalle alkoi toimia.Nalle tulee laittaa päälle aktiiviseksi siten että sovelluksessa olevan nallen pää muuttuu vihreäksi.  Kytke nalle päälle ja paina vasemman puolen korvasta niin että väri alkaa vilkkua.Kun puhelin saa yhteyden nalleen, niin tämän jälkeen antaa vasta luoda tarinoita. Joka kerta siis samalla tavalla. Nallen pitää olla lähellä tätä sovellusta josta tarinaa aiotaan luoda.Meillä hävitti myös aluksi 2 polettia joita ei ole tullut takaisin missään vaiheessa.Muutoin kun asian hoksasi, niin toimii hyvin. Puhuu selkeästi ja saa luotua kivoja tarinoita. Meille tämä lahja meinasi aluksi tuottaa erittäin suurta harmitusta, mutta nyt on osoittautunut todella tärkeäksi ja toimivaksi Poe-nalleksi tytölle.Toki on kyllä harhaanjohtavaa jos tarinoita voi tehdä vain sen tietyn määrän ja sitten pitäisi ostaa lisää.",4,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,positiivinen
Ei toiminut,"Viidellä puhelimella kokeiltu, resetoitu tehdasasetukset ja jumiutui joka kerta tarinoita luodessaan. Tästä lelusta ei aiheutunut muuta kuin harmaita hiuksia ja pettymys lapselle kovan odotuksen jälkeen",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Täysin käyttökelvoton tuote,"Pojalle joululahja, mikä osoittautui todella suureksi pettymykseksi!Tuote ei toimi oikein, eikä tällä hetkellä vastaa teknisesti valmistajan ilmoittamaa tuotekuvausta. Sovelluksen käyttöliittymä on todella buginen ja sen suomenkielinen käännös on vain osittain ymmärrettävissä. Käyttöliittymän toiminnot tapahtuu täysin arvailun varassa. Meillä nalle osaa kertoa vain yhtä ja samaa tarinaa. Nallea ei saada kertomaan uusia tarinoita ollenkaan. Olemme koittaneet sovellusta kolmella puhelimella sekä yhdellä tabletilla. Myös Bluetooth-laiteparitukset on kokeiltu nollata, mutta tästä ei ole ollut mitään apua.En käsitä, miten näin kehnon tuotekehityksen lopputulos on päätynyt Suomen markkinoille. Komppaan myös muiden antamia yhden tähden arvosteluita. Tuotetta ei voi tällä hetkellä suositella.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Joululahja,"Lapselle ostettiin joululahjaksi ja ei toiminut kahtena ekana päivänä ollenkaan. Ensin kaksi polettia katosi tuhkatuuleen, kun tarinoiden lataus ei onnistunut. Poletit onneksi palautuivat kyllä takaisin sovellukseen päivän jälkeen. Illalla yritettiin kuunnella nallesta tarinoita, niin nalle sanoo yhden lauseen puoliksi ja sammuu. Surkein lelu kyllä ikinä. En olisi ostanut, jos olisin tiennyt kuinka huonosti toimii ja että satuja saa ilmaiseksi vain 75 kappaletta 🙈",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Hyvä ostos ja toimii,"Annoin nallen lahjaksi 9 ja 11 vuotiaalle lapselle. Yritin ensin itse saada nallen toimimaan, mutta annoinkin lapsien itse koittaa saada nalle toimimaan.  Siitä asti nalle lörpötellyt mitä hauskimpia tarinoita joista ei mielikuvitus lopu.(Laite mistä lapset nallen sovellusta käyttää on Samsung tablet android 14.) Ostaisin uudestaankin nallen, vaikken ole tekoälyn nopean kehityksen suurin ihailija.",5,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,positiivinen
Ei toimi,"Kovat lupaukset ja hieno idea, mutta olikin iso pettymys lapselle jouluksi. Sovellus ei toimi android ja ios. Kokeiltu kaikilla kotona olevilla puhelimilla ja tableteilla. Ilman sovellusta nalle on vain todella huonolaatuinen bluetooth kaiutin, jonka paristot loppuvat heti.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Harhaanjohtava,"Tarinoita voi luoda kolikoilla ja kun ne loppuvat pitää OSTAA lisää. Tästä ei ole mitään mainintaa. ”Tarvitsee ILMAISEN sovelluksen” Jep, sovellus on ilmainen, mutta ostoja kuitenkin sovelluksessa. Yksi tarina saatiin luotua ja sen jälkeen nalle ei yhdistä enää sovellukseen. Jepjep, en suosittele ja vaihtoon lähtee.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Älä osta,"Ei toimi. Testattu os ja android. Yhden kerran saatiin tarina ja sekin kuraa. Jos saat toimimaan, tietyn tarina määrän jälkeen joudut maksamaan lisää. Jätä tuote hyllyyn.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Maltti on valttia,"Alussa toimi heikohkosti, mutta tarpeeksi monta kertaa kun käytti nallen kiinni ja sovelluksen kiinni pyysi itse nallen ohjelmistopäivityksen, tämän jälkeen uudelleen käynnistys ja sen jälkeen toimi moitteettomasti. Jokaisen uuden askeleen jälkeen tai kun jäi jumittamaan, käytin niin nallen kuin sovelluksen kiinni niin isompia ongelmia ei loppupeleissään ollutkaan. Muutama satu nyt luotuna ja kuunneltuna ja lapset tykkää, nalle puhuu tarpeeksi isolla ja selkeällä äänellä, jo luodut sadut tallentuvat satukirjastoon josta niitä voi kuunnella uudelleen ja itse nalleen voi tallentaa muutamia satuja jolloin käyttö ilman sovellusta on mahdollista",4,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,positiivinen
"Roskaa, ei toimi","Kyselee sijaintitietoja. Päästi kerran tarinanluontiin, jonka jälkeen ohjelma kaatui. Ei päästä enää edes ohjelmaan sisälle, vaan kaatuu heti alkulataukseen. Softa täyttä roskaa, nalle lähti palautykseen.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Pettynyt joululahjan saaja.,"Appi tähän on aivan onneton ja maksullinenkin vielä. Kokeiltu kolmella laitteella mutta vanhalla tabletilla toimii jotenkin. Nallehan itsenään toimii ihan perus bluetooth kaiuttimena jotenkin, vaikka äänenlaatu huono ja hiljainen.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Surkein lelu ikinä,"Sovelluksen asentaminen kesti puoli päivää, eikä silti toimi.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Massiivinen pettymys,"Ainoa lapsen toivoma lahja. Aattoilta oli lapselle todellinen pettymys. Sovellus ei toimi, jumittaa jatkuvasti. Kokeiltu eri laitteilla. Onnistunut vedätys kokonaisuudessaan.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Muutama iso ongelma,"Ei toimi vanhemmalla kännykällä. Meidän taloudessa toimii vain yhdellä kännykällä (oneplus 9), koska vaatii käyttöoikeuden hallita bluetooth-laitteiden skannausta. Vanhemmissa laitteissa tätä oikeutta ei saa myönnettyä.Tarinan luomisen jälkeen nalle pitää yhdistää kännykän valikosta uudelleen, jotta tarina valmistuu. Appi näyttää nallen yhdistettynä, vaikka se ei ole. Nalle näkyy myös kahtena bluetooth-laitteena (toisella kuukoke kuvake ja toisella pelkkä bluetooth-kuvake), joista en tiedä vieläkään kumpi pitää olla kytkettynä. Tähän liittyy app:n ilmoitus siitä, että nallen pitää olla yhdistettynä bluetooth airPlay:hin.Nallella voi luoda ilmaiseksi vain 75kpl tarinaa. Tämän jälkeen tarinat maksavat. Joskus ilmoittaa, että poletti käytetään, toisinaan ei. Aina kuitenkin poletti kuluu. Manuaalissa lukee ""Tuotteen osto antaa ostajalle rajoittamattoman käyttöoikeuden perusominaisuuksiin, mukaan lukien omaperäisten tarinoiden luomisen. Räätälöidyt tarinat ovat premium-ominaisuus... sovelluksen kautta voi ostaa..."" Tämä on harhaanjohtavaa, sillä juuri tarinoiden luominen on rajoitettua.Iso pettymys. Appi ei joko toimi tai jos uudemmalla kännykällä toimii, niin jumittaa eikä ilmoita missä vika. Ei pysty käyttämään, kun aina jokin ongelma. Kallis siihen nähden, että hintaa kuuluu vain 75 satua, rahastusta. Plussana Appin suomennokset ovat kuraa. Tietojen tallennusnapissa lukee ""Säästää"".",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Älä osta,"Kallis lelu, joka vaatii rahaa kun käytät sovelluksen tarina poletit loppuun.Suuri huijaus kun mainostetaan ilmaisia tarinoita mitä ei ole.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Ei luo tarinoita,"Ei luo tarinoita loppuun. Odotetuin joululahja, lapsella tuli itku kun joululahja ei toimi.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Roska,"Ei toimi ollenkaan, 7 vuotiaan joulu pilalla.Usean yrittämisen jälkeen jonkinlainen yhdistäminen puhelimeen onnistui mutta yhtään satua ei luonut vaan sovellus jää jumiin.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Android Play-I Poe,Aikansa kun tappeli sovelluksen kanssa alkoi nalle jotain sentään änkyttämään. Yhteysongelmia yms. Käyttökokemus on luokattoman huono.Android applikaation valikot vaikuttaa olevan käännös iPhone sovelluksesta. Ei ole vaivauduttu muokkaamaan. Testattu tabletilla ja puhelimella. Saattaisi toimia iPhonella?,1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Huono ostos,"Aivan hyödytön lelu, ei yhdistä puhelimeen tai tablettiin. Lapsen harras toivelahja, joten todella ikävä juttu 🙄",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=1,fi,negatiivinen
Huijausta,"Mihin lapsille satuja kertova nalle tarvitsee puhelimen sijaintitiedot ja muut luvat ja pääsyt puhelimeen? Sovelluksessa on 75 crediittiä, jotka kuluvat satuja luodessa, mitäs kun ne loppuvat? Muuttuuko maksulliseksi?? Siitä ei kyllä ole huolta, koska ei tämä toimi ja niitä satuja luo. Älkää ostako.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
Pettymys,"Lapsen odotetuin lahja, sovellus ei toimi ollenkaan !!!! Harmittaa että on tullut ostettua",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
EI TOIMI!!,Sovellus ei toimi mitenkään eikä millään laitteella. Täysin hyödytön ja todella harmi koska lapsi odotti kovasti joululahjaa.,1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
Ei toimi,"Joulu pilalla, toisella puhelimella ei etene mihinkään, toisella ei ikinä lataa tarinoita kuultavaksi asti. Luvat pitää antaa sijaintia myöten kaikki, mutta mitään tuosta ei silti toimimaan saa! Pettymys!!",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
Se ei toimi,"Ei yhdistä bluetoothia, olemme yrittäneet kaikkea, lapsi on turhautunut, se oli lahja.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
Roskaa,"Älä osta tätä. Sovellus on todella surkea, mikään ei yksinkertaisesti toimi.",1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
Täyttä roskaa,Täysin hyödytön laite. Ei luo tarinoita ikinä loppuun vaikka millä laitteilla koittaa. Päivitykset vaativat kaiken uudelleen asennusta. Älä osta.,1,https://www.verkkokauppa.com/fi/product/944260/Play-I-Poe-interaktiivinen-lelu/reviews?page=2,fi,negatiivinen
😐,"Tyylikäs ja laadukas, mutta ei kovin monikäyttöinen. Sopii parhaiten tavallisiin pulloihin – isommat mukit tai termospullot eivät mahdu kunnolla. Kiinnitys on helppoa, mutta teline voi joskus liikkua hieman rattaiden liikkuessa. Kätevä, mutta ei välttämätön.",3,https://www.verkkokauppa.com/fi/product/606184/CYBEX-mukinpidike-musta/reviews?page=1,fi,neutraali
KÄTEVÄ,Isokin treeni pullo mahtuu joka on tosi hyvä. Joustava eli pitää napakkaasti kiinni pienemmistäkin pulloista.,5,https://www.verkkokauppa.com/fi/product/606184/CYBEX-mukinpidike-musta/reviews?page=1,fi,positiivinen
Asiansa ajava teline.,"Toimiva mukiteline Cybexin rattaisiin, oli täällä muutaman euron halvempi mitä muualla. Mahtuu hyvin erikokoiset mukit ja pullot, joten laadukkaan oloista muovia. Näppärä kiinnitys rattaissa olevaan nuppiin. Leventää rattaita telineen verran, joten huomioi oviaukoissa ja käytävissä.",5,https://www.verkkokauppa.com/fi/product/606184/CYBEX-mukinpidike-musta/reviews?page=1,fi,positiivinen
En saanut toimimaan,Ostin näitä kaksi ja yritin saada toimimaan sekä vanhemman että uudemman linuksen kanssa. Eivät suostuneet löytämään toisiaan. Palautukseen meni. Vähän hassu design myös.,1,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,negatiivinen
Hyvä ostos,"Ostin Yale Linus 2 älylukkon pariksi niin että alakouluikäinen ja koirien lenkittäjät pääsevät siäsän. Kaikille kävijöille on mahdollisuus keksiä oma koodi. Sovelluksesta voi katsoa ketkä on käynyt ja mihin aikaan. Koodit voi desaktivoida ja muokata helposti ja nopeasti. Super hyvä ja edullinen vaihtoehto kokonaan vaihdettavaan älylukkoon.Ainoastaan koodin laittamisen jälkeen pitää hetki (2-3sec) odottaa että lukko avautuu. Jos laitettu monta kertaa peräkkäin väärät koodit, se lukittuu ja voi yrittää uudestaan vain ajan päästä.",5,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
Hyvä tuote,Melkein voi sanoa että ehdoton tuon lukon kanssa helpottaa kovasti lukon käyttöä,5,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
"Helppo asentaa, toimii hyvin","Simppeli ja helppo asentaa. Pienikokoinen. Käytän itse ulko-oveen yale Linus lukon kanssa.  Ainut asia joka mietityttää on näppäimistön paristojen pakkasenkestävyys, selviää tulevana talvena.",4,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
Katkoo yhteyttä,"Näppäimistö ollut käytössä omakotitalossa asennettuna Linus -älylukon yhteyteen ja luonnollisesti ulkona. Muutaman kuukauden käytön aikana näppäimistö on hukannut yhteyden lukkoon kahteen otteeseen ja vaatinut resetoinnin, patterien pois käyttämisen ja uudelleen yhdistämisen, että saatu toimimaan.Tuote on kuitenkin käytössä kätevä, vaikkakin hintaansa nähden halvan ja heppoisen oloinen. En olisi ostanut jos olisin tiennyt yhteysongelmista, mutta näillä mennään.",3,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,neutraali
Toimiva mutta ei parasta laatua,Näppis toiminut noin vuoden. Ladattavat akkuparistot kestää noin 2-4 kk. Kesällä pidempään. Normaalit paristot kuluu noin 1-2 kuukaudessa. Hintaan odottaisi tukevaa ja kovaa muovia varsinkin kun kyse on turvalaitteesta ja lukosta. Laite on muovinen ja kevyt. Toivottavasti joskus tulee versio 2.,4,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
Yale näppis,Käyttöönotto meni kivuttomasti ei ollut suurempia ongelmia.  2vko käytöllä toiminut niinkuin pitääkin. Äpsissä sai hetken pähkiä mistä pääsee muuttamaan koodin. Se löytyi vietaslista valikon alta ja joko kotiin liitetyt käyttäjät tai kutsu napilla tehtyä erillisen koodin.,5,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
Ajaa asiansa,"Olemus ei ehkä ihan luottamusta herättävä, mutta on toiminut meillä luotettavasti. Joskus komento ei mene perille, mutta uusintayritys auttaa. Paristot vaihdettu kerran talven aikana sekä lukkoon (Linus) että näppäimistöön. Näppis on meillä pakkasessa mutta kuitenkin sateensuojassa. Mitään yhteysongelmia ei oikeastaan ole ollut.",3,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,neutraali
"Halvan ja heppoisen oloinen, mutta ajaa asiansa","Keypad ollut reilut pari vuotta käytössä. Toiminut moitteettomasti. Näppäimistö on tosiaan halvan ja aika rimpulan oloinen ja isosormisella vaatii tarkkuutta, että painallukset menevät oikein.Ihmettelen valitusta patterien kestosta. Meillä ei ole ollut mitään ongelmaa patterien keston kanssa. Patterit on vaihdettu vuosittain ja eivät kertaakaan ole ehtineet tyhjäksi asti. Käytämme lithium paristoja laitteessa. Meillä ensisijainen lukon avaustapa on automaattiavaus, mutta päivittäin tulee näppäimistön kautta kuitenkin avattua ovi.Laite on hinnakas ja hintaan nähden voisi toivoa jämäkämpää toteutusta, joskin nykyiselläänkin laite on toimiva.",3,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,neutraali
Hyvälle lukolle huono lisävaruste,"Tämä numeronäppäimistö on todella huono, ei suoriudu luotettavasti sen ainoasta tehtävästä, joka on kertoa bluetooth-yhteyden välityksellä älylukolle että mikä koodi syötettiin. Laatu tuntuu jotenkin erikoisen surkealta verrattuna Yale Linus älylukkoon ja etäyhteyssiltaan.Ottoja puolen vuoden käyttökokemuksista:Patterit kestää max 1kk virransäästötilassa lämpimässä rappukäytävässä. Käytössä aina uusin ohjelmistoversio. En tosin ole edes varma, että meneekö näppäimistö virransäästötilaan vaikka sitä asetuksista laittaisi. Sovellus sanoo että näppäimistön valojen ei pitäisi palaa virransäästössä, mutta kyllä ne palavat vaikka virransäästö on päällä.näppäimistö satunnaisesti menee jumitilaan, palautuu siitä vain patterit irroittamalla ja laittamalla takaisin.ulkonäkö ja näppäimet ihan ok. Rakenne erittäin himpula, ihmettelen ettei ole vielä hajonnut jatkuvasta patterien vaihdosta.Ei tätä siis voi käyttää edes varavaihtoehtona avaimelle tai kännykkäapille, saati ainoana vaihtoehtona.Käyttömukavuudesta 2 tähteä siitä syystä, että silloin kun toimii niin on ihan kätevä. Reagoi painalluksiin ihan riittävästi ja on selkeä näpytellä. Avauskoodeja pääsee hallitsemaan sovelluksesta kätevästi.",1,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,negatiivinen
Patteri vuoti,"Alkuperäinen patteri oli kuukauden käytön jälkeen vuotanut ja saanut näppäimistön epäkuntoon. En saanut toimimaan. Odottelen valmistajan ohjetta. Piti kuitenkin hakea uusi tilalle ja on liian kallis, jos jatkuvasti joutuu uusimaan. Olisi muuten hyvä airbnb käytössä.",1,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,negatiivinen
Yale näppis,"Näppäimistön paritus oli haastavaa, mutta sen jälkeen toiminut hyvin. Pattereiden kesto huolestutti aluksi mutta hyvin kestää pakkasessakin.Oikein hyvä tuote!",4,https://www.verkkokauppa.com/fi/product/700835/Yale-Linus-Smart-Keypad-nappaimisto-alylukolle/reviews?page=1,fi,positiivinen
